user_id,vehicle_model,battery_capacity_kwh,station_id,city,start_time,end_time,energy_consumed_kwh,duration_hours,charging_rate_kw,cost_usd,time_of_day,day_of_week,soc_start_pct,soc_end_pct,distance_km,temperature_c,vehicle_age,charger_type,user_type,has_distance_data,has_energy_data,km_per_kwh,cost_per_km_usd,cost_per_kwh_usd,kwh_per_hour (kW),battery_used_pct,cost_sa_zar,cost_per_km_sa_zar,petrol_cost_equivalent_zar,savings_vs_petrol_zar,savings_pct
User_1,BMW i3,108.46300741284072,Station_391,Houston,2024-01-01 00:00:00,2024-01-01 00:39:00,60.71234573492677,0.5913634253585007,36.3891805669814,13.087716791774506,Evening,Tuesday,29.371575979140047,86.11996244457839,293.6021106383279,27.947953055800944,2.0,DC Fast Charger,Commuter,True,True,4.8359539906464795,0.04457637161844704,0.2155692822167694,102.66503326295718,56.748386465438344,446.23574115171175,1.5198655765162559,431.59510263834204,-14.640638513369709,-3.392216089541203
User_2,Hyundai Kona,100.0,Station_428,San Francisco,2024-01-01 01:00:00,2024-01-01 03:01:00,12.339275203733752,3.133652052688084,30.67773493971444,21.12844792913739,Morning,Monday,10.115777641679946,84.66434362786444,112.11280368218186,14.311025660377789,3.0,Level 1,Casual Driver,True,True,9.085850005862383,0.1884570471454131,1.7122924629109588,3.9376660191577346,74.5485659861845,37.01782561120126,0.33018374704230613,164.80582141280735,127.78799580160609,77.53852060936694
User_3,Chevy Bolt,75.0,Station_181,San Francisco,2024-01-01 02:00:00,2024-01-01 04:48:00,19.12887570011548,2.4526527258367823,27.51359255877324,35.66727042356739,Morning,Thursday,6.854604444398554,69.91761524016282,71.79925292594801,21.00200183614421,2.0,Level 2,Commuter,True,True,3.753448663243421,0.49676380978996726,1.8645774578038619,7.799259756021594,63.063010795764264,112.47778911667902,1.5665593238509856,105.5449018011436,-6.9328873155354245,-6.56866148646159
User_4,Hyundai Kona,50.0,Station_327,Houston,2024-01-01 03:00:00,2024-01-01 06:42:00,79.45782398845503,1.266430804620451,32.882869757386224,13.036238833914622,Evening,Saturday,83.12000296074223,99.62432763119423,199.5777845163286,38.31631316036344,1.0,Level 1,Long-Distance Traveler,True,True,2.511744904382564,0.0653190878208594,0.16406488599296082,62.74154395057416,16.504324670452007,238.3734719653651,1.1943888070661612,293.37934323900305,55.00587127363795,18.74906074379856
User_5,Hyundai Kona,50.0,Station_108,Los Angeles,2024-01-01 04:00:00,2024-01-01 05:46:00,19.62910416772725,2.0197650865894614,10.215712071204608,10.161471171031415,Morning,Saturday,54.25894969116981,63.743786036169695,203.66184655799864,-7.834199027249213,1.0,Level 1,Long-Distance Traveler,True,True,10.37550388534005,0.04989383796114036,0.5176737096203387,9.718508502824255,9.484836344999884,58.88731250318175,0.2891425836424982,299.38291444025805,240.4956019370763,80.33043648690489
User_6,Nissan Leaf,50.0,Station_335,San Francisco,2024-01-01 05:00:00,2024-01-01 07:10:00,43.18113714248533,1.1676401541014236,14.33452277611833,36.90034077796173,Evening,Saturday,75.21774833696946,71.98228757123687,143.68004610728445,-5.274217796522686,0.0,DC Fast Charger,Long-Distance Traveler,True,True,3.3273798610995726,0.2568230020639652,0.8545476849347718,36.98154520535145,-3.235460765732597,317.3813579972672,2.208945268296209,211.20966777770818,-106.171690219559,-50.268385598381556
User_7,Chevy Bolt,85.0,Station_162,Houston,2024-01-01 06:00:00,2024-01-01 07:53:00,36.862139988267536,3.5396190263161467,26.18518786003352,22.21422517569784,Evening,Friday,60.75178075976676,70.79609690147149,81.33800890802773,27.5513346806664,4.0,Level 2,Commuter,True,True,2.206546037042775,0.273110019213974,0.6026298305732704,10.414154663032127,10.044316141704726,216.7493831310131,2.6647982418170653,119.56687309480078,-97.18251003621232,-81.27879196034455
User_8,Chevy Bolt,75.0,Station_302,Los Angeles,2024-01-01 07:00:00,2024-01-01 10:42:00,51.46761685839947,2.6553964456130235,26.7029077655282,9.796821321322032,Afternoon,Monday,56.201703032995454,63.786815331776616,116.54316578116932,-4.41745966595273,0.0,Level 2,Long-Distance Traveler,True,True,2.2643979436974764,0.08406174017717452,0.1903492316008255,19.382272256720476,7.585112298781162,302.62958712738885,2.59671671949971,171.31845369831893,-131.3111334290699,-76.64739588433397
User_9,Chevy Bolt,62.0,Station_493,Los Angeles,2024-01-01 08:00:00,2024-01-01 09:21:00,43.59237228216989,1.724203599132774,14.294922926661108,32.465005072088225,Evening,Wednesday,33.46620026326066,92.96142090358896,208.25974249443672,22.51670642679634,4.0,Level 1,Commuter,True,True,4.777435399624235,0.15588708928205589,0.7447404986804774,25.28261297221258,59.4952206403283,130.77711684650967,0.6279519761242534,306.141821466822,175.36470462031235,57.28217849494877
User_10,Hyundai Kona,50.0,Station_452,Chicago,2024-01-01 09:00:00,2024-01-01 12:44:00,78.86860745126785,2.0268746909843576,11.76099971515701,21.312302451155745,Morning,Wednesday,27.399454625609152,70.05338137780706,54.00630919992556,27.51201936462592,2.830381306943589,DC Fast Charger,Commuter,True,True,0.6847630628358126,0.39462616066319006,0.2702254184508635,38.91143729904935,42.653926752197904,579.6842647668186,10.733639705333125,79.38927452389058,-500.29499024292807,-630.1795717913691
